id	filename	md5	size	state
059526c3-7cb1-4bdf-ac9a-0b887014b5fa	059526c3-7cb1-4bdf-ac9a-0b887014b5fa/6649e671-1660-4d4d-8f1e-bb697486b439.rna_seq.augmented_star_gene_counts.tsv	e04ba825723605df8e44d7518c06be77	4228673	validated
08872f38-d20f-4610-898c-aff8fe15bfe2	08872f38-d20f-4610-898c-aff8fe15bfe2/ed8896f8-24ef-43a4-ace6-ed9353bd11c2.rna_seq.augmented_star_gene_counts.tsv	b769f25b5c623c7e998f5ee7be6a4906	4226548	validated
0ab52521-ed65-49f9-8508-e90062281352	0ab52521-ed65-49f9-8508-e90062281352/f139697f-e8aa-4ed3-aed3-b36ae0493d40.rna_seq.augmented_star_gene_counts.tsv	825421d2866bf23e8daf0a0f03e8a9c3	4224517	validated
17add25f-e442-4c52-b75a-a35b890ed565	17add25f-e442-4c52-b75a-a35b890ed565/a3b44031-71ef-476f-a8bd-3694226ce026.rna_seq.augmented_star_gene_counts.tsv	54456b71bd56a2e990d88b4c5f569725	4198960	validated
18fe6d09-5377-4c7e-a360-ca65b575444c	18fe6d09-5377-4c7e-a360-ca65b575444c/60bc0507-0349-4154-9db4-8d93b3e8bdf5.rna_seq.augmented_star_gene_counts.tsv	245f3575a0b110bf3ee644aa4ed5e84a	4234630	validated
1b94d854-680a-4ed8-8892-99cdcf3f794f	1b94d854-680a-4ed8-8892-99cdcf3f794f/5af838ac-ab79-41c0-81fb-168cf9b1cf50.rna_seq.augmented_star_gene_counts.tsv	e7ea633cd74363b65cd4505b12e47197	4244437	validated
1c48056a-d2b8-4365-b750-485b9e9a7b6c	1c48056a-d2b8-4365-b750-485b9e9a7b6c/5fb88e40-263c-4b86-b088-da38f046771a.rna_seq.augmented_star_gene_counts.tsv	bb0c221ae96154c00971a11114df8b1d	4225654	validated
1f117018-33ca-4b04-89cc-e5594656a4ba	1f117018-33ca-4b04-89cc-e5594656a4ba/f624c673-6366-4809-a6a1-aa9d1aa184a8.rna_seq.augmented_star_gene_counts.tsv	f051bfd113ce95cd213fbc8d8cb37703	4241345	validated
2063302d-2b9d-4550-8426-fb64f5ea89d1	2063302d-2b9d-4550-8426-fb64f5ea89d1/eb67b977-b299-4bbc-b3f6-25d516473405.rna_seq.augmented_star_gene_counts.tsv	e8822385915d04e3fb578d51efd5894b	4239347	validated
225e2e30-c886-4eea-9b32-71c509ea5e4e	225e2e30-c886-4eea-9b32-71c509ea5e4e/8ca13509-abad-46b7-92f4-fa741bc52b42.rna_seq.augmented_star_gene_counts.tsv	c0a61d92b4fcc6782da5b77302dc2c65	4216495	validated
