logFC	logCPM	LR	PValue	FDR	gene_name	gene_type
ENSG00000000003	-0.0587394234628227	7.2118043906077	0.443897916044577	0.50524707256171	0.71356104658001	TSPAN6	protein_coding
ENSG00000000419	-0.206612173270384	6.96172761501002	4.16486219284052	0.0412707702027089	0.135435105080488	DPM1	protein_coding
ENSG00000000457	0.0610521573679247	6.59583957557576	0.286282940811716	0.592612415234408	0.776697589337618	SCYL3	protein_coding
ENSG00000000460	-0.557348868545076	6.46363759352014	16.4681485758354	4.94742893210761e-05	0.000444945007520579	C1orf112	protein_coding
ENSG00000000938	0.0629414725875824	6.2990539755065	0.22434773969411	0.63574694119808	0.806546412093029	FGR	protein_coding
ENSG00000000971	0.428944099884555	6.69542362025479	17.9013943572302	2.32650594250089e-05	0.000226696937310618	CFH	protein_coding
ENSG00000001036	-0.0898177729427253	7.04916192365721	0.89019344851009	0.345424890585183	0.57953267638173	FUCA2	protein_coding
ENSG00000001084	-0.0543881984386481	6.94208976985995	0.300788394504767	0.583388589907271	0.77015508855371	GCLC	protein_coding
ENSG00000001167	-0.13586101281972	6.86014128134644	1.68805702540894	0.193857294114754	0.405165346169579	NFYA	protein_coding
ENSG00000001460	0.368698229053922	6.48875225545285	10.5469946805748	0.00116377159913407	0.00718646384195814	STPG1	protein_coding
ENSG00000001461	0.168477663671315	6.92836338764675	3.10624488604603	0.0779925843105085	0.215437105098782	NIPAL3	protein_coding
ENSG00000001497	-0.24653779552891	7.01396924203911	6.1173223636849	0.0133863421124532	0.0560026989998674	LAS1L	protein_coding
ENSG00000001561	0.137557604425794	6.81799118432135	1.84957053076869	0.173833352435252	0.378291155553257	ENPP4	protein_coding
ENSG00000001617	-0.25421145212014	6.87457234851744	5.71982280949457	0.0167744231892949	0.0670979187746569	SEMA3F	protein_coding
ENSG00000001626	0.07877419538833	7.22096251971543	0.848611835198483	0.356945339665201	0.589824886948439	CFTR	protein_coding
ENSG00000001629	-0.0430481322629969	6.98095672515228	0.195984415217374	0.65798182310799	0.821110907885952	ANKIB1	protein_coding
ENSG00000001630	-0.23331727413762	6.29091857107368	2.72816188006735	0.0985926980191917	0.254072060838178	CYP51A1	protein_coding
ENSG00000001631	-0.264826101336828	6.30716275248509	3.53396082765218	0.0601239986595009	0.178297264177168	KRIT1	protein_coding
ENSG00000002016	0.0668246391739354	6.47829921282826	0.305654528748413	0.580359063178967	0.768040146170433	RAD52	protein_coding
ENSG00000002330	0.116224901109267	6.5215366909964	0.984315699557015	0.321135647031541	0.553720723424176	BAD	protein_coding
ENSG00000002549	-0.000432236097603805	7.16398060702811	2.35933806216337e-05	0.996124449138886	0.998221723062087	LAP3	protein_coding
ENSG00000002586	0.0528345405955158	7.2719222708319	0.394738825264792	0.529818932464615	0.731916643140167	CD99	protein_coding
ENSG00000002587	-0.226815110953027	6.56425538321364	3.42827770080463	0.064088904613337	0.186567912159502	HS3ST1	protein_coding
ENSG00000002726	0.357149620327425	7.29417279797516	20.6579566848636	5.49085287693649e-06	6.17159894206076e-05	AOC1	protein_coding
ENSG00000002834	0.0903868130925565	7.40532888143016	1.31138484373501	0.252144074880163	0.47827757919099	LASP1	protein_coding
ENSG00000002919	0.0891698019331014	6.77895317906572	0.735668562360843	0.391051934779551	0.619203432231647	SNX11	protein_coding
ENSG00000002933	0.0744418773896159	7.25405740705061	0.778271144375253	0.377670407317622	0.608075890002026	TMEM176A	protein_coding
ENSG00000003056	-0.0707395507612053	7.06360799470612	0.563410336973112	0.452889420263056	0.673375775051703	M6PR	protein_coding
ENSG00000003096	0.550127108980735	6.09513089775973	16.3311740863184	5.31818415467934e-05	0.000474837870953513	KLHL13	protein_coding
ENSG00000003147	-0.226494715091035	7.01847887090537	5.22437911097914	0.0222723964081854	0.0835468037439511	ICA1	protein_coding
ENSG00000003249	-0.867262180474458	6.69312177784753	44.2954753084724	2.82368115194396e-11	6.55592012294682e-10	DBNDD1	protein_coding
ENSG00000003393	-0.201513155235202	6.71589829443381	3.16479705546277	0.0752417868859462	0.210075366599513	ALS2	protein_coding
ENSG00000003400	0.209577347572739	6.8937970035949	4.73192409589198	0.0296077457148895	0.104624743923974	CASP10	protein_coding
ENSG00000003402	0.0949092542252295	7.08926391771526	1.10586921694661	0.292981655017963	0.526188198967388	CFLAR	protein_coding
ENSG00000003436	0.204800988502716	6.59281303750106	3.39337808442039	0.0654587107633084	0.189774074905961	TFPI	protein_coding
ENSG00000003509	-0.201901859961445	6.57498856890425	2.7720110658367	0.0959255740094283	0.248717454463119	NDUFAF7	protein_coding
ENSG00000003756	-0.0162826369478906	6.98972637938357	0.0285536013928969	0.865813860097375	0.936013107877119	RBM5	protein_coding
ENSG00000003989	0.547279929978066	6.09101313953445	16.0666259536225	6.11523278495652e-05	0.000535949048964851	SLC7A2	protein_coding
ENSG00000004059	-0.0518576540744525	7.17806953706685	0.336982943135347	0.561575922920154	0.755711601047413	ARF5	protein_coding
ENSG00000004139	-0.0461945620542875	6.28001513773441	0.113540542787838	0.736148730468144	0.865296403831999	SARM1	protein_coding
ENSG00000004142	-0.0460985368077321	7.22613128072739	0.278136032634553	0.597925537511961	0.78056769183008	POLDIP2	protein_coding
ENSG00000004399	-0.0496683810502086	7.02851765237513	0.271485873983721	0.602336772734896	0.782892297300109	PLXND1	protein_coding
ENSG00000004455	0.00729551386454805	7.22985353332673	0.00713445715560646	0.932686160182882	0.971139354839139	AK2	protein_coding
ENSG00000004468	0.553011013047381	6.163319234444	17.8930823058176	2.33668926978665e-05	0.000227510068557118	CD38	protein_coding
ENSG00000004478	-0.118540958166666	7.27223932119391	1.85983221394172	0.172644166427127	0.376603483084029	FKBP4	protein_coding
ENSG00000004487	-0.17350800530982	7.18441086753467	3.61805093149984	0.0571557969080264	0.171800579727187	KDM1A	protein_coding
ENSG00000004534	-0.0818722927711835	7.01997992980672	0.723030292905875	0.395151713495764	0.622454487590387	RBM6	protein_coding
